VideoFile,ISI,ITI,Asterisk,Cue
Neu_47_IMM.mp4,4,3,**,FRIEND
Neg_17_IMM.mp4,6,5,****,ACTOR
Neg_22_REF.mp4,4,4,***,FRIEND
Neu_01_IMM.mp4,2,6,*****,FRIEND
Pos_31_REF.mp4,5,6,*****,ACTOR
Neu_31_IMM.mp4,4,3,**,FRIEND
Neg_47_IMM.mp4,6,2,*,FRIEND
Pos_01_REF.mp4,2,3,**,FRIEND
Pos_31_IMM_2.mp4,3,4,***,ACTOR
Neg_39_REF.mp4,4,4,***,FRIEND
Pos_27_IMM.mp4,3,4,***,ACTOR
Neg_01_IMM.mp4,5,5,****,FRIEND
Neg_31_REF.mp4,4,2,*,ACTOR
Pos_31_IMM.mp4,4,2,*,FRIEND
Neg_05_REF.mp4,2,4,***,ACTOR
Neu_27_IMM.mp4,5,3,**,FRIEND
Pos_27_REF.mp4,3,6,*****,FRIEND
Neu_39_IMM.mp4,5,5,****,FRIEND
Pos_05_REF.mp4,3,5,****,ACTOR
Pos_05_IMM.mp4,2,6,*****,ACTOR
Neg_39_IMM.mp4,4,3,**,FRIEND
Neg_17_REF.mp4,3,5,****,FRIEND
Pos_47_IMM.mp4,5,3,**,ACTOR
Neg_31_IMM.mp4,6,4,***,FRIEND
Pos_44_REF.mp4,2,3,**,ACTOR
